Date,fed_net_liquidity,fearGreed
2020-01-02,3791069.9,39
2020-01-03,3791068.749,38
2020-01-04,3791068.749,38
2020-01-05,3791068.749,39
2020-01-06,3791069.175,41
2020-01-07,3791071.398,40
2020-01-08,3782541.124,51
2020-01-09,3782541.599,44
2020-01-10,3782541.373,41
2020-01-11,3782541.373,50
2020-01-12,3782541.373,45
2020-01-13,3782541.0,49
2020-01-14,3782541.344,56
2020-01-15,3824862.325,54
2020-01-16,3824862.7,55
2020-01-17,3824846.85,54
2020-01-18,3824846.85,51
2020-01-19,3824846.85,53
2020-01-20,3824846.85,48
2020-01-21,3824849.619,49
2020-01-22,3741955.396,52
2020-01-23,3741958.096,49
2020-01-24,3741971.0,40
2020-01-25,3741971.0,41
2020-01-26,3741971.0,42
2020-01-27,3741970.998,50
2020-01-28,3741970.998,54
2020-01-29,3719568.7,57
2020-01-30,3719564.86,57
2020-01-31,3719564.5,55
2020-02-01,3719564.5,57
2020-02-02,3719564.5,57
2020-02-03,3719562.84,59
2020-02-04,3719566.888,56
2020-02-05,3753380.888,53
2020-02-06,3753384.597,61
2020-02-07,3753383.9,56
2020-02-08,3753383.9,56
2020-02-09,3753383.9,56
2020-02-10,3753384.17,57
2020-02-11,3753384.772,52
2020-02-12,3771451.691,61
2020-02-13,3771451.55,65
2020-02-14,3771452.0,63
2020-02-15,3771452.0,64
2020-02-16,3771452.0,59
2020-02-17,3771452.0,49
2020-02-18,3771442.546,53
2020-02-19,3742764.905,50
2020-02-20,3742761.4,44
2020-02-21,3742760.468,44
2020-02-22,3742760.468,43
2020-02-23,3742760.468,46
2020-02-24,3742764.408,46
2020-02-25,3742764.889,44
2020-02-26,3719269.7,41
2020-02-27,3719271.725,39
2020-02-28,3719269.813,40
2020-02-29,3719269.813,38
2020-03-01,3719269.813,39
2020-03-02,3719269.475,38
2020-03-03,3719271.373,38
2020-03-04,3866986.975,40
2020-03-05,3866991.15,41
2020-03-06,3866989.07,39
2020-03-07,3866989.07,38
2020-03-08,3866989.07,33
2020-03-09,3866989.496,17
2020-03-10,3866991.849,16
2020-03-11,3931353.675,17
2020-03-12,3931333.95,14
2020-03-13,3931339.9,10
2020-03-14,3931339.9,8
2020-03-15,3931339.9,12
2020-03-16,3931353.575,9
2020-03-17,3931349.3,8
2020-03-18,4305635.523,11
2020-03-19,4305634.805,12
2020-03-20,4305623.797,9
2020-03-21,4305623.797,9
2020-03-22,4305623.797,11
2020-03-23,4305609.056,10
2020-03-24,4305594.484,12
2020-03-25,4863928.589,13
2020-03-26,4863887.52,14
2020-03-27,4863815.206,12
2020-03-28,4863815.206,8
2020-03-29,4863815.206,12
2020-03-30,4863788.5030000005,10
2020-03-31,4863741.092,12
2020-04-01,5382132.172,12
2020-04-02,5382157.373,14
2020-04-03,5382191.883,14
2020-04-04,5382191.883,12
2020-04-05,5382191.883,12
2020-04-06,5382195.706,12
2020-04-07,5382251.64,20
2020-04-08,5384509.517,21
2020-04-09,5384557.475,22
2020-04-10,5384557.475,15
2020-04-11,5384557.475,15
2020-04-12,5384557.475,10
2020-04-13,5384556.9,11
2020-04-14,5384553.1,15
2020-04-15,5478068.85,18
2020-04-16,5478070.475,13
2020-04-17,5478070.274,15
2020-04-18,5478070.274,18
2020-04-19,5478070.274,16
2020-04-20,5478041.0,15
2020-04-21,5478059.472,17
2020-04-22,5671794.175,19
2020-04-23,5671803.55,19
2020-04-24,5671803.5,20
2020-04-25,5671803.5,24
2020-04-26,5671803.5,21
2020-04-27,5671788.524,28
2020-04-28,5671797.869,26
2020-04-29,5658420.55,26
2020-04-30,5658420.225,44
2020-05-01,5658421.749,40
2020-05-02,5658421.749,40
2020-05-03,5658421.749,45
2020-05-04,5658417.15,44
2020-05-05,5658420.075,40
2020-05-06,5593928.825,42
2020-05-07,5593929.018,49
2020-05-08,5593929.32,55
2020-05-09,5593929.32,56
2020-05-10,5593929.32,48
2020-05-11,5593929.877,40
2020-05-12,5593929.175,39
2020-05-13,5756719.175,41
2020-05-14,5756732.867000001,40
2020-05-15,5756731.85,44
2020-05-16,5756731.85,41
2020-05-17,5756731.85,40
2020-05-18,5756732.422,50
2020-05-19,5756732.91,50
2020-05-20,5842838.274,52
2020-05-21,5842847.997,49
2020-05-22,5842847.999,42
2020-05-23,5842847.999,40
2020-05-24,5842847.999,43
2020-05-25,5842847.999,41
2020-05-26,5842847.999,39
2020-05-27,5786820.674000001,39
2020-05-28,5786825.0,41
2020-05-29,5786823.675,48
2020-05-30,5786823.675,48
2020-05-31,5786823.675,51
2020-06-01,5786825.0,50
2020-06-02,5786822.987,56
2020-06-03,5730393.987,48
2020-06-04,5730394.0,54
2020-06-05,5730394.0,53
2020-06-06,5730394.0,54
2020-06-07,5730394.0,54
2020-06-08,5730394.0,53
2020-06-09,5730392.748,52
2020-06-10,5662377.988,54
2020-06-11,5662377.625,52
2020-06-12,5662378.0,38
2020-06-13,5662378.0,38
2020-06-14,5662378.0,40
2020-06-15,5662377.997,37
2020-06-16,5662374.0,39
2020-06-17,5533839.999,38
2020-06-18,5533839.999,40
2020-06-19,5533839.999,39
2020-06-20,5533839.999,38
2020-06-21,5533839.999,37
2020-06-22,5533839.99,38
2020-06-23,5533839.989,41
2020-06-24,5458359.999,50
2020-06-25,5458359.999,43
2020-06-26,5458359.8,40
2020-06-27,5458359.8,43
2020-06-28,5458359.8,40
2020-06-29,5458359.75,41
2020-06-30,5458359.05,44
2020-07-01,5351419.998,42
2020-07-02,5351420.0,42
2020-07-03,5351420.0,41
2020-07-04,5351420.0,40
2020-07-05,5351420.0,38
2020-07-06,5351420.0,40
2020-07-07,5351419.997,43
2020-07-08,5267617.999,44
2020-07-09,5267618.0,44
2020-07-10,5267618.0,41
2020-07-11,5267618.0,44
2020-07-12,5267618.0,41
2020-07-13,5267617.999,43
2020-07-14,5267617.999,43
2020-07-15,5303283.999,44
2020-07-16,5303283.999,43
2020-07-17,5303284.0,41
2020-07-18,5303284.0,44
2020-07-19,5303284.0,41
2020-07-20,5303283.997,44
2020-07-21,5303284.0,44
2020-07-22,5159811.0,50
2020-07-23,5159811.0,55
2020-07-24,5159811.0,53
2020-07-25,5159811.0,55
2020-07-26,5159811.0,55
2020-07-27,5159811.0,58
2020-07-28,5159811.0,76
2020-07-29,5132344.999,71
2020-07-30,5132344.693,76
2020-07-31,5132344.85,75
2020-08-01,5132344.85,75
2020-08-02,5132344.85,80
2020-08-03,5132345.0,75
2020-08-04,5132344.995,72
2020-08-05,5200009.0,75
2020-08-06,5200009.0,79
2020-08-07,5200009.0,77
2020-08-08,5200009.0,77
2020-08-09,5200009.0,79
2020-08-10,5200008.992000001,78
2020-08-11,5200009.0,84
2020-08-12,5287543.897,75
2020-08-13,5287543.874,75
2020-08-14,5287543.999,78
2020-08-15,5287543.999,79
2020-08-16,5287543.999,82
2020-08-17,5287543.946,83
2020-08-18,5287543.998,82
2020-08-19,5367131.888,80
2020-08-20,5367131.85,75
2020-08-21,5367132.0,81
2020-08-22,5367132.0,78
2020-08-23,5367132.0,76
2020-08-24,5367132.0,78
2020-08-25,5367131.988,75
2020-08-26,5367727.991,76
2020-08-27,5367727.998,75
2020-08-28,5367728.0,74
2020-08-29,5367728.0,79
2020-08-30,5367728.0,75
2020-08-31,5367727.989,75
2020-09-01,5367727.992000001,75
2020-09-02,5378332.986,83
2020-09-03,5378333.0,79
2020-09-04,5378333.0,40
2020-09-05,5378333.0,41
2020-09-06,5378333.0,41
2020-09-07,5378333.0,41
2020-09-08,5378333.0,41
2020-09-09,5399530.999,38
2020-09-10,5399530.99,38
2020-09-11,5399531.0,41
2020-09-12,5399531.0,41
2020-09-13,5399531.0,38
2020-09-14,5399530.999,39
2020-09-15,5399530.998,47
2020-09-16,5449619.945,43
2020-09-17,5449619.999,48
2020-09-18,5449620.0,49
2020-09-19,5449620.0,48
2020-09-20,5449620.0,52
2020-09-21,5449619.946,48
2020-09-22,5449620.0,39
2020-09-23,5412472.999,43
2020-09-24,5412472.996,39
2020-09-25,5412473.0,46
2020-09-26,5412473.0,45
2020-09-27,5412473.0,47
2020-09-28,5412473.0,43
2020-09-29,5412471.699,45
2020-09-30,5376976.15,49
2020-10-01,5376976.999,45
2020-10-02,5376977.0,41
2020-10-03,5376977.0,40
2020-10-04,5376977.0,42
2020-10-05,5376977.0,42
2020-10-06,5376977.0,47
2020-10-07,5377574.989,43
2020-10-08,5377574.788,46
2020-10-09,5377575.0,48
2020-10-10,5377575.0,53
2020-10-11,5377575.0,55
2020-10-12,5377575.0,52
2020-10-13,5377575.0,56
2020-10-14,5470428.0,53
2020-10-15,5470427.999,56
2020-10-16,5470427.998,52
2020-10-17,5470427.998,56
2020-10-18,5470427.998,55
2020-10-19,5470427.996,55
2020-10-20,5470427.993,56
2020-10-21,5452473.0,61
2020-10-22,5452472.999,73
2020-10-23,5452473.0,74
2020-10-24,5452473.0,73
2020-10-25,5452473.0,76
2020-10-26,5452472.999,75
2020-10-27,5452473.0,61
2020-10-28,5465372.995,70
2020-10-29,5465372.986,67
2020-10-30,5465372.999,74
2020-10-31,5465372.999,73
2020-11-01,5465372.999,72
2020-11-02,5465373.0,71
2020-11-03,5465373.0,71
2020-11-04,5536133.0,74
2020-11-05,5536133.0,72
2020-11-06,5536133.0,90
2020-11-07,5536133.0,88
2020-11-08,5536133.0,82
2020-11-09,5536133.0,90
2020-11-10,5536133.0,90
2020-11-11,5574580.0,86
2020-11-12,5574580.0,87
2020-11-13,5574579.997,89
2020-11-14,5574579.997,90
2020-11-15,5574579.997,86
2020-11-16,5574579.987,90
2020-11-17,5574580.0,86
2020-11-18,5686187.897,91
2020-11-19,5686186.0,94
2020-11-20,5686188.0,86
2020-11-21,5686188.0,91
2020-11-22,5686188.0,94
2020-11-23,5686187.515,90
2020-11-24,5686187.999,88
2020-11-25,5699265.0,94
2020-11-26,5699265.0,93
2020-11-27,5699265.0,86
2020-11-28,5699265.0,87
2020-11-29,5699265.0,89
2020-11-30,5699264.994,88
2020-12-01,5699264.998,95
2020-12-02,5691360.999,92
2020-12-03,5691361.0,92
2020-12-04,5691361.0,92
2020-12-05,5691361.0,93
2020-12-06,5691361.0,95
2020-12-07,5691360.999,94
2020-12-08,5691360.999,95
2020-12-09,5708414.997,86
2020-12-10,5708414.999,94
2020-12-11,5708415.0,89
2020-12-12,5708415.0,90
2020-12-13,5708415.0,91
2020-12-14,5708414.9,95
2020-12-15,5708414.999,91
2020-12-16,5832893.973999999,92
2020-12-17,5832893.986,92
2020-12-18,5832893.968,95
2020-12-19,5832893.968,93
2020-12-20,5832893.968,92
2020-12-21,5832893.565,92
2020-12-22,5832893.5940000005,88
2020-12-23,5801631.143,93
2020-12-24,5801631.99,86
2020-12-25,5801631.99,94
2020-12-26,5801631.99,93
2020-12-27,5801631.99,91
2020-12-28,5801631.098999999,92
2020-12-29,5801631.743,91
2020-12-30,5772295.348,91
2020-12-31,5772286.348999999,95
2021-01-01,5772286.348999999,94
2021-01-02,5772286.348999999,94
2021-01-03,5772286.348999999,93
2021-01-04,5772295.999,94
2021-01-05,5772295.995,93
2021-01-06,5665481.996,95
2021-01-07,5665481.999,91
2021-01-08,5665482.0,93
2021-01-09,5665482.0,93
2021-01-10,5665482.0,94
2021-01-11,5665482.0,90
2021-01-12,5665482.0,84
2021-01-13,5744547.0,78
2021-01-14,5744546.4,83
2021-01-15,5744547.0,88
2021-01-16,5744547.0,84
2021-01-17,5744547.0,79
2021-01-18,5744547.0,79
2021-01-19,5744546.996,80
2021-01-20,5788034.194,78
2021-01-21,5788034.799000001,75
2021-01-22,5788036.0,40
2021-01-23,5788036.0,74
2021-01-24,5788036.0,70
2021-01-25,5788033.8,74
2021-01-26,5788034.369,71
2021-01-27,5771384.848,78
2021-01-28,5771383.345,55
2021-01-29,5771378.9,77
2021-01-30,5771378.9,76
2021-01-31,5771378.9,78
2021-02-01,5771385.988,77
2021-02-02,5771385.989,76
2021-02-03,5785272.822,78
2021-02-04,5785272.5,80
2021-02-05,5785272.99,81
2021-02-06,5785272.99,84
2021-02-07,5785272.99,86
2021-02-08,5785272.998,83
2021-02-09,5785272.999,95
2021-02-10,5833319.0,92
2021-02-11,5833318.892,93
2021-02-12,5833318.999,92
2021-02-13,5833318.999,92
2021-02-14,5833318.999,95
2021-02-15,5833318.999,93
2021-02-16,5833318.996,95
2021-02-17,5990360.95,95
2021-02-18,5990361.0,91
2021-02-19,5990360.998,93
2021-02-20,5990360.998,91
2021-02-21,5990360.998,91
2021-02-22,5990359.9,94
2021-02-23,5990360.565,94
2021-02-24,6060133.999,76
2021-02-25,6060124.024,79
2021-02-26,6060122.8,55
2021-02-27,6060122.8,56
2021-02-28,6060122.8,55
2021-03-01,6060134.0,38
2021-03-02,6060133.995,78
2021-03-03,6127974.493,78
2021-03-04,6127972.9,84
2021-03-05,6127974.0,77
2021-03-06,6127974.0,77
2021-03-07,6127974.0,76
2021-03-08,6127974.975,81
2021-03-09,6127975.0,81
2021-03-10,6219836.9,68
2021-03-11,6219825.949,73
2021-03-12,6219830.2,70
2021-03-13,6219830.2,74
2021-03-14,6219830.2,78
2021-03-15,6219836.997,76
2021-03-16,6219836.298,71
2021-03-17,6420923.0,71
2021-03-18,6420896.43,72
2021-03-19,6420904.092,71
2021-03-20,6420904.092,75
2021-03-21,6420904.092,73
2021-03-22,6420900.757999999,70
2021-03-23,6420903.473999999,66
2021-03-24,6658462.098,65
2021-03-25,6658473.9,60
2021-03-26,6658472.55,54
2021-03-27,6658472.55,65
2021-03-28,6658472.55,74
2021-03-29,6658443.646,72
2021-03-30,6658379.275,72
2021-03-31,6663126.693,76
2021-04-01,6663251.425,74
2021-04-02,6663251.425,74
2021-04-03,6663251.425,73
2021-04-04,6663251.425,74
2021-04-05,6663257.55,71
2021-04-06,6663242.049,75
2021-04-07,6698743.965,72
2021-04-08,6698751.36,73
2021-04-09,6698747.735,70
2021-04-10,6698747.735,70
2021-04-11,6698747.735,76
2021-04-12,6698748.779,74
2021-04-13,6698741.457,74
2021-04-14,6867959.144,75
2021-04-15,6867981.374,79
2021-04-16,6867970.0600000005,78
2021-04-17,6867970.0600000005,76
2021-04-18,6867970.0600000005,79
2021-04-19,6867956.202,74
2021-04-20,6867942.2530000005,73
2021-04-21,6804964.671,73
2021-04-22,6804943.356,65
