Date,Open,High,Low,Close,Volume,oi_open,oi_high,oi_low,oi_close,long_short_ratio,long_ratio,short_ratio
2020-06-01,9530.0,9775.0,9465.0,9650.0,3656.0,34653.577,38109.669,32013.6,32434.987,0.8228,45.14,54.86
2020-06-02,9745.0,10565.0,9335.0,9580.0,14048.0,32434.987,35951.007,25496.293,25596.137,0.8598,46.23,53.77
2020-06-03,9580.0,9730.0,9465.0,9655.0,3179.0,25596.137,28246.149,25407.181,27690.809,1.2957,56.44,43.56
2020-06-04,9665.0,9985.0,9535.0,9895.0,4328.0,27690.809,29761.809,27573.612,29231.15,1.2007,54.56,45.44
2020-06-05,9865.0,9950.0,9675.0,9800.0,4508.0,29231.15,30453.427,28681.717,29821.789,0.9818,49.54,50.46
2020-06-06,9800.0,9800.0,9800.0,9800.0,0.0,29821.789,31404.79,29775.224,29775.224,1.0864,52.07,47.93
2020-06-07,9800.0,9800.0,9800.0,9800.0,0.0,29775.224,32849.549,28974.724,29823.198,1.1281,53.01,46.99
2020-06-08,9810.0,9900.0,9720.0,9780.0,3757.0,29823.198,31154.445,29811.764,31154.445,0.9708,49.26,50.74
2020-06-09,9630.0,9985.0,9620.0,9805.0,4291.0,31154.445,31154.445,27521.595,30090.289,0.9406,48.47,51.53
2020-06-10,9905.0,10130.0,9720.0,9935.0,7010.0,30090.289,31340.974,28759.277,29805.398,0.8857,46.97,53.03
2020-06-11,9945.0,10060.0,9090.0,9300.0,10869.0,29805.398,36306.378,29805.398,32241.266,0.879,46.78,53.22
2020-06-12,9380.0,9610.0,9265.0,9465.0,3848.0,32241.266,32454.096,30555.707,30665.789,1.2517,55.59,44.41
2020-06-13,9465.0,9465.0,9465.0,9465.0,0.0,30665.789,31427.597,30251.217,30404.93,1.0576,51.4,48.6
2020-06-14,9465.0,9465.0,9465.0,9465.0,0.0,30404.93,33256.662,30118.726,32020.463,1.0777,51.87,48.13
2020-06-15,9370.0,9525.0,8930.0,9440.0,5850.0,32020.463,37177.186,32020.463,34879.141,1.0276,50.68,49.32
2020-06-16,9475.0,9630.0,9415.0,9530.0,3436.0,34879.141,34980.979,32703.193,33490.299,0.8041,44.57,55.43
2020-06-17,9540.0,9600.0,9255.0,9325.0,3206.0,33490.299,34940.532,32252.435,34054.496,0.8667,46.43,53.57
2020-06-18,9425.0,9515.0,9320.0,9410.0,2135.0,34054.496,35926.223,34054.496,35563.928,1.0773,51.86,48.14
2020-06-19,9385.0,9465.0,9245.0,9315.0,3481.0,35563.928,37452.901,35563.928,36472.084,1.0421,51.03,48.97
2020-06-20,9315.0,9315.0,9315.0,9315.0,0.0,36472.084,37778.807,36237.224,36424.554,1.1386,53.24,46.76
2020-06-21,9315.0,9315.0,9315.0,9315.0,0.0,36424.554,36811.886,35845.833,36415.321,1.0309,50.76,49.24
2020-06-22,9350.0,9700.0,9280.0,9585.0,5062.0,36415.321,38393.481,35064.123,36173.74,1.1017,52.42,47.58
2020-06-23,9725.0,9755.0,9600.0,9660.0,3811.0,36173.74,39807.446,35861.66,39807.446,0.9117,47.69,52.31
2020-06-24,9665.0,9685.0,9180.0,9285.0,8255.0,39807.446,42106.113,38557.498,39040.921,0.9992,49.98,50.02
2020-06-25,9245.0,9315.0,8985.0,9280.0,5012.0,38935.707,39656.962,36726.167,37000.836,1.4056,58.43,41.57
2020-06-26,9285.0,9300.0,9055.0,9084.2001953125,4195.0,37000.836,40840.792,36566.549,38843.529,1.264,55.83,44.17
2020-06-27,9084.2001953125,9084.2001953125,9084.2001953125,9084.2001953125,0.0,38843.529,42985.379,38843.529,41131.3,1.2789,56.12,43.88
2020-06-28,9084.2001953125,9084.2001953125,9084.2001953125,9084.2001953125,0.0,41131.3,42299.628,40365.381,41014.431,1.2696,55.94,44.06
2020-06-29,9175.0,9240.0,9050.0,9200.0,2742.0,41014.431,43367.013,40732.341,40874.291,1.2153,54.86,45.14
2020-06-30,9255.0,9295.0,9100.0,9185.0,2856.0,40874.291,42410.636,40780.626,41523.588,1.1997,54.54,45.46
2020-07-01,9200.0,9390.0,9140.0,9325.0,4789.0,41523.588,43519.843,41523.588,41536.881,1.2085,54.72,45.28
2020-07-02,9280.0,9335.0,8950.0,9060.0,6562.0,41536.881,43287.429,40772.139,40887.087,1.0947,52.26,47.74
2020-07-03,9060.0,9060.0,9060.0,9060.0,0.0,40887.087,41358.868,40347.735,40677.765,1.3946,58.24,41.76
2020-07-04,9060.0,9060.0,9060.0,9060.0,0.0,40677.765,41690.754,40369.131,40827.431,1.3132,56.77,43.23
2020-07-05,9060.0,9060.0,9060.0,9060.0,0.0,40827.431,43316.21,39465.162,40167.479,1.3256,57.0,43.0
2020-07-06,9100.0,9435.0,9060.0,9355.0,6890.0,40167.479,42977.084,39852.792,42112.838,1.3441,57.34,42.66
2020-07-07,9350.0,9455.0,9250.0,9290.0,2975.0,42112.838,42838.156,41700.081,42229.47,0.9853,49.63,50.37
2020-07-08,9310.0,9570.0,9285.0,9510.0,5163.0,42229.47,44387.18,41409.896,44325.85,1.0194,50.48,49.52
2020-07-09,9505.0,9545.0,9190.0,9255.0,5931.0,44325.85,44915.375,41643.624,41658.183,0.9968,49.92,50.08
2020-07-10,9275.0,9285.0,9145.0,9275.0,2296.0,41658.183,42884.089,40954.164,40954.164,1.2326,55.21,44.79
2020-07-11,9275.0,9275.0,9275.0,9275.0,0.0,40954.164,40984.172,39851.041,40785.783,1.1772,54.07,45.93
2020-07-12,9275.0,9275.0,9275.0,9275.0,0.0,40785.783,41174.564,39662.07,40079.957,1.1075,52.55,47.45
2020-07-13,9290.0,9410.0,9240.0,9270.0,2844.0,40079.957,43316.92,40079.957,41638.64,1.0916,52.19,47.81
2020-07-14,9275.0,9320.0,9135.0,9310.0,2869.0,41638.64,43914.66,40405.589,40436.399,1.1459,53.4,46.6
2020-07-15,9295.0,9320.0,9165.0,9190.0,2330.0,40436.399,43024.262,40436.399,42279.82,1.1772,54.07,45.93
2020-07-16,9240.0,9265.0,9040.0,9145.0,3344.0,42279.82,47020.081,42279.82,44256.392,1.2129,54.81,45.19
2020-07-17,9130.0,9220.0,9095.0,9195.0,1674.0,44256.392,45495.424,44256.392,44709.639,1.2533,55.62,44.38
2020-07-18,9195.0,9195.0,9195.0,9195.0,0.0,44709.639,44736.558,43174.729,43509.821,1.1968,54.48,45.52
2020-07-19,9195.0,9195.0,9195.0,9195.0,0.0,43509.821,44073.622,43175.05,43745.173,1.1673,53.86,46.14
2020-07-20,9200.0,9280.0,9155.0,9190.0,2432.0,43745.173,43948.886,42461.768,42467.004,1.1395,53.26,46.74
2020-07-21,9205.0,9480.0,9175.0,9395.0,5408.0,42467.004,47796.556,42368.183,46443.801,1.1552,53.6,46.4
2020-07-22,9415.0,9435.0,9295.0,9425.0,3117.0,46443.801,46734.975,43732.905,43811.78,1.0231,50.57,49.43
2020-07-23,9425.0,9735.0,9425.0,9650.0,6653.0,43811.78,45524.789,42823.492,42832.528,1.0678,51.64,48.36
2020-07-24,9665.0,9665.0,9505.0,9615.0,3110.0,42832.528,43070.561,41530.215,42078.991,1.1377,53.22,46.78
2020-07-25,9615.0,9615.0,9615.0,9615.0,0.0,42078.991,43392.088,40949.965,42518.326,1.2046,54.64,45.36
2020-07-26,9615.0,9615.0,9615.0,9615.0,0.0,42518.326,43247.267,35898.238,37221.074,1.1805,54.14,45.86
