date,fed_total_assets,tga,rrp,fed_net_liquidity
2020-01-02,4173626.0,382553.0,3.1,3791069.9
2020-01-03,4173626.0,382553.0,4.251,3791068.749
2020-01-06,4173626.0,382553.0,3.825,3791069.175
2020-01-07,4173626.0,382553.0,1.602,3791071.398
2020-01-08,4149544.0,367002.0,0.876,3782541.124
2020-01-09,4149544.0,367002.0,0.401,3782541.599
2020-01-10,4149544.0,367002.0,0.627,3782541.373
2020-01-13,4149544.0,367002.0,1.0,3782541.0
2020-01-14,4149544.0,367002.0,0.656,3782541.344
2020-01-15,4175850.0,350987.0,0.675,3824862.325
2020-01-16,4175850.0,350987.0,0.3,3824862.7
2020-01-17,4175850.0,350987.0,16.15,3824846.85
2020-01-21,4175850.0,350987.0,13.381,3824849.619
2020-01-22,4145912.0,403941.0,15.604,3741955.396
2020-01-23,4145912.0,403941.0,12.904,3741958.096
2020-01-24,4145912.0,403941.0,0.0,3741971.0
2020-01-27,4145912.0,403941.0,0.002,3741970.998
2020-01-28,4145912.0,403941.0,0.002,3741970.998
2020-01-29,4151630.0,432061.0,0.3,3719568.7
2020-01-30,4151630.0,432061.0,4.14,3719564.86
2020-01-31,4151630.0,432061.0,4.5,3719564.5
2020-02-03,4151630.0,432061.0,6.16,3719562.84
2020-02-04,4151630.0,432061.0,2.112,3719566.888
2020-02-05,4166707.0,413322.0,4.112,3753380.888
2020-02-06,4166707.0,413322.0,0.403,3753384.597
2020-02-07,4166707.0,413322.0,1.1,3753383.9
2020-02-10,4166707.0,413322.0,0.83,3753384.17
2020-02-11,4166707.0,413322.0,0.228,3753384.772
2020-02-12,4182689.0,411237.0,0.309,3771451.691
2020-02-13,4182689.0,411237.0,0.45,3771451.55
2020-02-14,4182689.0,411237.0,0.0,3771452.0
2020-02-18,4182689.0,411237.0,9.454,3771442.546
2020-02-19,4171570.0,428805.0,0.095,3742764.9050000003
2020-02-20,4171570.0,428805.0,3.6,3742761.4
2020-02-21,4171570.0,428805.0,4.532,3742760.468
2020-02-24,4171570.0,428805.0,0.592,3742764.408
2020-02-25,4171570.0,428805.0,0.111,3742764.889
2020-02-26,4158637.0,439365.0,2.3,3719269.7
2020-02-27,4158637.0,439365.0,0.275,3719271.725
2020-02-28,4158637.0,439365.0,2.187,3719269.813
2020-03-02,4158637.0,439365.0,2.525,3719269.475
2020-03-03,4158637.0,439365.0,0.627,3719271.373
2020-03-04,4241507.0,374515.0,5.025,3866986.975
2020-03-05,4241507.0,374515.0,0.85,3866991.15
2020-03-06,4241507.0,374515.0,2.93,3866989.07
2020-03-09,4241507.0,374515.0,2.504,3866989.496
2020-03-10,4241507.0,374515.0,0.151,3866991.849
2020-03-11,4311911.0,380556.0,1.325,3931353.675
2020-03-12,4311911.0,380556.0,21.05,3931333.95
2020-03-13,4311911.0,380556.0,15.1,3931339.9
2020-03-16,4311911.0,380556.0,1.425,3931353.575
2020-03-17,4311911.0,380556.0,5.7,3931349.3
2020-03-18,4668212.0,362576.0,0.477,4305635.523
2020-03-19,4668212.0,362576.0,1.195,4305634.805
2020-03-20,4668212.0,362576.0,12.203,4305623.797
2020-03-23,4668212.0,362576.0,26.944,4305609.056
2020-03-24,4668212.0,362576.0,41.516,4305594.484
2020-03-25,5254278.0,390252.0,97.411,4863928.589
2020-03-26,5254278.0,390252.0,138.48,4863887.52
2020-03-27,5254278.0,390252.0,210.794,4863815.206
2020-03-30,5254278.0,390252.0,237.497,4863788.5030000005
2020-03-31,5254278.0,390252.0,284.908,4863741.092
2020-04-01,5811607.0,429267.0,207.828,5382132.172
2020-04-02,5811607.0,429267.0,182.627,5382157.373
2020-04-03,5811607.0,429267.0,148.117,5382191.883
2020-04-06,5811607.0,429267.0,144.294,5382195.706
2020-04-07,5811607.0,429267.0,88.36,5382251.64
2020-04-08,6083141.0,698578.0,53.483,5384509.517
2020-04-09,6083141.0,698578.0,5.525,5384557.475
2020-04-13,6083141.0,698578.0,6.1,5384556.9
2020-04-14,6083141.0,698578.0,9.9,5384553.1
2020-04-15,6367887.0,889815.0,3.15,5478068.85
2020-04-16,6367887.0,889815.0,1.525,5478070.475
2020-04-17,6367887.0,889815.0,1.726,5478070.274
2020-04-20,6367887.0,889815.0,31.0,5478041.0
2020-04-21,6367887.0,889815.0,12.528,5478059.472
2020-04-22,6573136.0,901331.0,10.825,5671794.175
2020-04-23,6573136.0,901331.0,1.45,5671803.55
2020-04-24,6573136.0,901331.0,1.5,5671803.5
2020-04-27,6573136.0,901331.0,16.476,5671788.524
2020-04-28,6573136.0,901331.0,7.131,5671797.869
2020-04-29,6655929.0,997507.0,1.45,5658420.55
2020-04-30,6655929.0,997507.0,1.775,5658420.225
2020-05-01,6655929.0,997507.0,0.251,5658421.749
2020-05-04,6655929.0,997507.0,4.85,5658417.15
2020-05-05,6655929.0,997507.0,1.925,5658420.075
2020-05-06,6721420.0,1127490.0,1.175,5593928.825
2020-05-07,6721420.0,1127490.0,0.982,5593929.018
2020-05-08,6721420.0,1127490.0,0.68,5593929.32
2020-05-11,6721420.0,1127490.0,0.123,5593929.877
2020-05-12,6721420.0,1127490.0,0.825,5593929.175
2020-05-13,6934227.0,1177494.0,13.825,5756719.175
2020-05-14,6934227.0,1177494.0,0.133,5756732.867000001
2020-05-15,6934227.0,1177494.0,1.15,5756731.85
2020-05-18,6934227.0,1177494.0,0.578,5756732.422
2020-05-19,6934227.0,1177494.0,0.09,5756732.91
2020-05-20,7037258.0,1194410.0,9.726,5842838.274
2020-05-21,7037258.0,1194410.0,0.003,5842847.9969999995
2020-05-22,7037258.0,1194410.0,0.001,5842847.999
2020-05-26,7037258.0,1194410.0,0.001,5842847.999
2020-05-27,7097316.0,1310491.0,4.326,5786820.674000001
2020-05-28,7097316.0,1310491.0,0.0,5786825.0
2020-05-29,7097316.0,1310491.0,1.325,5786823.675
2020-06-01,7097316.0,1310491.0,0.0,5786825.0
2020-06-02,7097316.0,1310491.0,2.013,5786822.987
2020-06-03,7165217.0,1434823.0,0.013,5730393.987
2020-06-04,7165217.0,1434823.0,0.0,5730394.0
2020-06-05,7165217.0,1434823.0,0.0,5730394.0
2020-06-08,7165217.0,1434823.0,0.0,5730394.0
2020-06-09,7165217.0,1434823.0,1.252,5730392.748
2020-06-10,7168936.0,1506558.0,0.012,5662377.988
2020-06-11,7168936.0,1506558.0,0.375,5662377.625
2020-06-12,7168936.0,1506558.0,0.0,5662378.0
2020-06-15,7168936.0,1506558.0,0.003,5662377.9969999995
2020-06-16,7168936.0,1506558.0,4.0,5662374.0
2020-06-17,7094690.0,1560850.0,0.001,5533839.999
2020-06-18,7094690.0,1560850.0,0.001,5533839.999
2020-06-19,7094690.0,1560850.0,0.001,5533839.999
2020-06-22,7094690.0,1560850.0,0.01,5533839.99
2020-06-23,7094690.0,1560850.0,0.011,5533839.989
2020-06-24,7082302.0,1623942.0,0.001,5458359.999
2020-06-25,7082302.0,1623942.0,0.001,5458359.999
2020-06-26,7082302.0,1623942.0,0.2,5458359.8
2020-06-29,7082302.0,1623942.0,0.25,5458359.75
2020-06-30,7082302.0,1623942.0,0.95,5458359.05
2020-07-01,7009040.0,1657620.0,0.002,5351419.998
2020-07-02,7009040.0,1657620.0,0.0,5351420.0
2020-07-06,7009040.0,1657620.0,0.0,5351420.0
2020-07-07,7009040.0,1657620.0,0.003,5351419.9969999995
2020-07-08,6920716.0,1653098.0,0.001,5267617.999
2020-07-09,6920716.0,1653098.0,0.0,5267618.0
2020-07-10,6920716.0,1653098.0,0.0,5267618.0
2020-07-13,6920716.0,1653098.0,0.001,5267617.999
2020-07-14,6920716.0,1653098.0,0.001,5267617.999
2020-07-15,6958604.0,1655320.0,0.001,5303283.999
2020-07-16,6958604.0,1655320.0,0.001,5303283.999
2020-07-17,6958604.0,1655320.0,0.0,5303284.0
2020-07-20,6958604.0,1655320.0,0.003,5303283.9969999995
2020-07-21,6958604.0,1655320.0,0.0,5303284.0
2020-07-22,6964755.0,1804944.0,0.0,5159811.0
2020-07-23,6964755.0,1804944.0,0.0,5159811.0
2020-07-24,6964755.0,1804944.0,0.0,5159811.0
2020-07-27,6964755.0,1804944.0,0.0,5159811.0
2020-07-28,6964755.0,1804944.0,0.0,5159811.0
2020-07-29,6949032.0,1816687.0,0.001,5132344.999
2020-07-30,6949032.0,1816687.0,0.307,5132344.693
2020-07-31,6949032.0,1816687.0,0.15,5132344.85
2020-08-03,6949032.0,1816687.0,0.0,5132345.0
2020-08-04,6949032.0,1816687.0,0.005,5132344.995
2020-08-05,6945237.0,1745228.0,0.0,5200009.0
2020-08-06,6945237.0,1745228.0,0.0,5200009.0
2020-08-07,6945237.0,1745228.0,0.0,5200009.0
2020-08-10,6945237.0,1745228.0,0.008,5200008.992000001
2020-08-11,6945237.0,1745228.0,0.0,5200009.0
2020-08-12,6957277.0,1669733.0,0.103,5287543.897
2020-08-13,6957277.0,1669733.0,0.126,5287543.874
2020-08-14,6957277.0,1669733.0,0.001,5287543.999
2020-08-17,6957277.0,1669733.0,0.054,5287543.946
2020-08-18,6957277.0,1669733.0,0.002,5287543.998
2020-08-19,7010637.0,1643505.0,0.112,5367131.888
2020-08-20,7010637.0,1643505.0,0.15,5367131.85
2020-08-21,7010637.0,1643505.0,0.0,5367132.0
2020-08-24,7010637.0,1643505.0,0.0,5367132.0
2020-08-25,7010637.0,1643505.0,0.012,5367131.988
2020-08-26,6990418.0,1622690.0,0.009,5367727.991
2020-08-27,6990418.0,1622690.0,0.002,5367727.998
2020-08-28,6990418.0,1622690.0,0.0,5367728.0
2020-08-31,6990418.0,1622690.0,0.011,5367727.989
2020-09-01,6990418.0,1622690.0,0.008,5367727.992000001
2020-09-02,7017492.0,1639159.0,0.014,5378332.986
2020-09-03,7017492.0,1639159.0,0.0,5378333.0
2020-09-04,7017492.0,1639159.0,0.0,5378333.0
2020-09-08,7017492.0,1639159.0,0.0,5378333.0
2020-09-09,7010614.0,1611083.0,0.001,5399530.999
2020-09-10,7010614.0,1611083.0,0.01,5399530.99
2020-09-11,7010614.0,1611083.0,0.0,5399531.0
2020-09-14,7010614.0,1611083.0,0.001,5399530.999
2020-09-15,7010614.0,1611083.0,0.002,5399530.998
2020-09-16,7064475.0,1614855.0,0.055,5449619.945
2020-09-17,7064475.0,1614855.0,0.001,5449619.999
2020-09-18,7064475.0,1614855.0,0.0,5449620.0
2020-09-21,7064475.0,1614855.0,0.054,5449619.946
2020-09-22,7064475.0,1614855.0,0.0,5449620.0
2020-09-23,7093161.0,1680688.0,0.001,5412472.999
2020-09-24,7093161.0,1680688.0,0.004,5412472.996
2020-09-25,7093161.0,1680688.0,0.0,5412473.0
2020-09-28,7093161.0,1680688.0,0.0,5412473.0
2020-09-29,7093161.0,1680688.0,1.301,5412471.699
2020-09-30,7056129.0,1679152.0,0.85,5376976.15
